Subject,Question_Text,Marks,Question_Type,Difficulty_Level,Topic,Cognitive_Level,Text_Length,Keyword_Count,Predicted_Topic
DSA,1. Solve the following recurrence relaƟon using Masters theorem. T(n) = 4 T(n/2) + n,2,Problem,Easy,Misc,Apply,15,6,Recursion
DSA,"2. Given the head of a linked list, determine if there is a cycle in it using Floyd’s cycle detecƟon algorithm.",2,Problem,Easy,Linked List,Remember,21,11,Linked List
DSA,"3. Given an array of integers and a target value, return the indices of the two numbers that add up to the target. Input: [2,7,11,15], target = 9 → Output: [0,1]",5,Problem,Medium,Array,Understand,31,13,Array
DSA,"4. Given an array, print the next greater element for every element in the array. If no greater element exists, print -1",2,Problem,Easy,Array,Understand,22,13,Array
DSA,5. Design an algorithm to ﬁnd the index of the target Ɵmestamp in O(log n) Ɵme,5,Design,Medium,Algorithm,Create,16,4,Algorithm
DSA,"6. Given a binary tree, print its inorder, preorder, and postorder traversals (both recursive and iteraƟve methods)",10,Problem,Hard,Tree,Understand,17,11,Tree
DSA,7. Detect a cycle in a linked list (Floyd’s Cycle DetecƟon),2,Problem,Easy,Linked List,Remember,11,6,Linked List
DSA,8. The diameter is the length of the longest path between any two nodes. Find the diameter of a binary tree in O(n) Ɵme,5,Problem,Medium,Tree,Understand,24,10,Tree
DSA,"9. Given an undirected graph, print Breadth- First Search (BFS) and Depth-First Search (DFS) traversals starƟng from a source node.",2,Problem,Easy,Graph,Understand,20,14,Graph
DSA,"10. Given the head of a linked list, determine if there is a cycle in it using Floyd’s cycle detecƟon algorithm.",10,Problem,Hard,Linked List,Remember,21,11,Linked List
DSA,11. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,2,Design,Easy,Stack/Queue,Understand,15,9,Stack/Queue
DSA,"12. Given a weighted graph and a source node, ﬁnd the shortest path to all other nodes using Dijkstra’s algorithm.",2,Problem,Easy,Graph,Understand,20,12,Graph
DSA,13. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,5,Design,Medium,Stack/Queue,Understand,15,9,Stack/Queue
DSA,14. Detect a cycle in a linked list (Floyd’s Cycle DetecƟon),10,Problem,Hard,Linked List,Remember,11,6,Linked List
DSA,"15. Given a directed graph, check whether it contains a cycle using DFS",5,Problem,Medium,Graph,Understand,13,8,Graph
DSA,"16. Given an array of integers and a target value, return the indices of the two numbers that add up to the target. Input: [2,7,11,15], target = 9 → Output: [0,1]",10,Problem,Hard,Array,Understand,31,13,Array
DSA,"17. Given the head of a linked list, determine if there is a cycle in it using Floyd’s cycle detecƟon algorithm.",2,Problem,Easy,Linked List,Remember,21,11,Linked List
DSA,18. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,2,Design,Easy,Stack/Queue,Understand,15,9,Stack/Queue
DSA,"19. Given an array, print the next greater element for every element in the array. If no greater element exists, print -1",2,Problem,Easy,Array,Understand,22,13,Array
DSA,20. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,10,Design,Hard,Stack/Queue,Understand,15,9,Stack/Queue
DSA,"21. Given an array, print the next greater element for every element in the array. If no greater element exists, print -1",2,Problem,Easy,Array,Understand,22,13,Array
DSA,"22. Given the head of a linked list, determine if there is a cycle in it using Floyd’s cycle detecƟon algorithm.",5,Problem,Medium,Linked List,Remember,21,11,Linked List
DSA,23. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,2,Design,Easy,Stack/Queue,Understand,15,9,Stack/Queue
DSA,24. Detect a cycle in a linked list (Floyd’s Cycle DetecƟon),5,Problem,Medium,Linked List,Remember,11,6,Linked List
DSA,25. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,10,Design,Hard,Stack/Queue,Understand,15,9,Stack/Queue
DSA,"26. Given a string, ﬁnd the length of the longest substring without repeaƟng characters. Example: ""abcabcbb"" → Output: 3 (""abc"")",2,Problem,Easy,Misc,Understand,20,10,Misc
DSA,"27. Given an array, print the next greater element for every element in the array. If no greater element exists, print -1",5,Problem,Medium,Array,Understand,22,13,Array
DSA,28. Design an algorithm to ﬁnd the index of the target Ɵmestamp in O(log n) Ɵme,2,Design,Easy,Algorithm,Create,16,4,Algorithm
DSA,"29. Given a string, ﬁnd the length of the longest substring without repeaƟng characters. Example: ""abcabcbb"" → Output: 3 (""abc"")",2,Problem,Easy,Misc,Understand,20,10,Misc
DSA,30. Implement a queue with the standard enqueue() and dequeue() operaƟons using only two stacks.,2,Design,Easy,Stack/Queue,Understand,15,9,Stack/Queue
DSA,"31. Given an array of integers and a target value, return the indices of the two numbers that add up to the target. Input: [2,7,11,15], target = 9 → Output: [0,1]",5,Problem,Medium,Array,Understand,31,13,Array
DSA,DSA Strong Dataset – University Level,2,Problem,Easy,Misc,Understand,6,4,Misc
DSA,Q1. Explain time and space complexity analysis with examples.,2,Theory,Easy,Misc,Understand,9,7,Misc
DSA,Q2. Design an algorithm to reverse a linked list using recursion.,2,Design,Easy,Linked List,Remember,11,7,Linked List
DSA,"Q3. Explain the difference between binary tree, BST, and AVL tree.",2,Theory,Easy,Tree,Understand,11,6,Tree
DSA,Q4. Write pseudocode for merge sort and explain its working.,10,Theory,Hard,Sorting,Understand,10,6,Sorting
DSA,Q5. Design a stack using two queues and analyze its complexity.,2,Design,Easy,Stack/Queue,Analyze,11,6,Stack/Queue
DSA,Q6. Explain hash table collision and how chaining resolves it.,5,Theory,Medium,Hashing,Understand,10,6,Hashing
DSA,Q7. Implement Dijkstra’s algorithm and explain with an example graph.,2,Theory,Easy,Graph,Understand,10,7,Graph
DSA,Q8. What is the difference between BFS and DFS traversal?,10,Theory,Hard,Misc,Remember,10,4,Misc
DSA,Q9. Explain dynamic programming using the Fibonacci example.,2,Theory,Easy,Misc,Understand,8,6,Misc
DSA,Q10. Explain the divide and conquer strategy with Merge Sort.,2,Theory,Easy,Sorting,Understand,10,7,Sorting
DSA,Q11. Write an algorithm to find the intersection of two linked lists.,2,Problem,Easy,Linked List,Remember,12,6,Linked List
DSA,Q12. Design a queue using two stacks and discuss complexity.,2,Derivation,Easy,Stack/Queue,Create,10,6,Stack/Queue
DSA,Q13. Explain recursion depth and stack overflow with examples.,10,Theory,Hard,Stack/Queue,Understand,9,7,Recursion
DSA,Q14. Implement binary search and explain its best and worst cases.,2,Theory,Easy,Searching,Understand,11,7,Searching
DSA,Q15. Describe heap operations and use cases of priority queues.,2,Theory,Easy,Stack/Queue,Understand,10,6,Stack/Queue
DSA,Q16. Explain topological sorting and its real-life applications.,5,Theory,Medium,Sorting,Understand,8,6,Sorting
DSA,Q17. What is a spanning tree? Explain Kruskal’s algorithm.,2,Theory,Easy,Tree,Remember,9,6,Tree
DSA,Q18. Explain adjacency matrix vs adjacency list representation.,10,Theory,Hard,Misc,Remember,8,6,Graph
DSA,Q19. What is memoization and how does it improve performance?,10,Theory,Hard,Misc,Remember,10,5,Misc
DSA,Q20. Describe Floyd-Warshall algorithm for all pairs shortest path.,5,Theory,Medium,Algorithm,Understand,9,7,Algorithm
DSA,Q21. Explain the working of quick sort and its average complexity.,2,Theory,Easy,Sorting,Understand,11,6,Sorting
